"ID","Title","Body HTML","Vendor","Type","Status","Published","Image Src","Image Position","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Inventory Qty","Variant Inventory Adjust","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: custom.min-qty [number_integer]","Metafield: custom.in_catalog [boolean]","Variant Metafield: custom.in_catalog [boolean]","Variant Metafield: harmonized_system_code [string]"
"8394558538042","Custom Geo-Shape Pendant Necklace","Featuring intricate laser-cut details of your chosen lake, island, or 
state. Expertly crafted from durable stainless steel and polished to 
perfection through stone tumbling, this elegant round pendant dangles 
gracefully from an 18-inch chain with a secure lobster clasp. Celebrate 
your cherished memories and showcase your unique story with this 
beautiful, personalized accessory.<br>","Zootility","TūLRY","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/J-CCP.jpg?v=1688586255","1","47603770786106","45556296679738","MERGE","Metal","Stainless","Packaging","Hanging","","","1","J-CCP-S","816265021717","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/J-CCP-S.png?v=1688586255","0.0","lb","17.50","38.00","false","","","continue","manual","true","","","","","24","false","true",""
"8394558538042","Custom Geo-Shape Pendant Necklace","","Zootility","TūLRY","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/J-CCP-S.png?v=1688586255","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394559226170","RFID Blocker Cards (2-pack)","<p>Convert any wallet into an RFID Blocking wallet, safe from the potential harm of card theft due to wireless skimming. Place two cards, one on either side of your stack of credit cards, or in the outer cash pocket of a fold wallet.</p>","Zootility","WanderMade Wallets","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RFID.jpg?v=1688586425","1","47603790250298","45556315160890","MERGE","Design","2 Pack","","","","","1","PS-RFID-2","816265021434","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RFID-2.png?v=1688586425","0.0","lb","3.00","5.95","false","","","continue","manual","true","","","","","12","false","false",""
"8394559226170","RFID Blocker Cards (2-pack)","","Zootility","WanderMade Wallets","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/PS-RFID-2.png?v=1688586425","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394559324474","Headgehog™","The Headgehog™ is not your average comb. At 1mm thin and the size of a credit card, this comb is also a dynamic multi-tool! The Headgehog™ is coated with clear acrylic so that it is smooth in your hair.<ul>
<li>Bottle opener</li>
<li>Phillips screwdriver</li>
<li>4 wrenches</li>
<li>Phone kickstand</li>
<li>Money clip</li>
<li>Chip clip</li>
</ul>","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-HH.jpg?v=1688586430","1","47603792576826","45556317487418","MERGE","Title","Default Title","","","","","1","Z-HH","748252678027","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-HH.png?v=1688586430","0.0","lb","6.50","12.95","false","","","continue","manual","true","","","","","12","true","true",""
"8394559324474","Headgehog™","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-HH.png?v=1688586430","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394559717690","PocketMonkey X","Our most feature-packed multi-tool. PocketMonkey X is the 21-in-1 credit card-sized tool. Unlike the PocketMonkey, the PocketMonkey X is equipped with more wrench sizes and a pry bar. <ul>
<li>Bottle Opener</li>
<li>Flat &amp; Phillips Screwdrivers</li>
<li>6 Metric Wrenches</li>
<li>6 US Wrenches</li>
<li>Pry bar</li>
<li>Ruler</li>
<li>Orange Peeler</li>
<li>And more!</li>
</ul>","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-PMX.jpg?v=1688586451","1","47603802702138","45556327612730","MERGE","Title","Default Title","","","","","1","Z-PMX","816265022219","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-PMX.png?v=1688586451","0.0","lb","6.50","14.95","false","","","continue","manual","true","","","","","12","true","true",""
"8394559717690","PocketMonkey X","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-PMX.png?v=1688586451","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394559815994","PocketMonkey®","<div>This small but mighty tool has 12 functions, fits in your wallet, and is compliant with all TSA rules. Made in the USA from heat-treated stainless steel, the PocketMonkey multi-tool won't bend, break, or rust. Helps you conquer everyday tasks with a full set of tools:<ul>
<li>Phillips, Flat, Micro Screwdrivers</li>
<li>Bottle Opener</li>
<li>6 Wrenches</li>
<li>Orange Peeler</li>
<li>Letter Opener</li>
<li>Ruler</li>
<li>And more!</li>
</ul>
</div>","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-PMD.jpg?v=1688586454","1","47603804995898","45556329906490","MERGE","Version","Deluxe","","","","","1","Z-PMD","696859181634","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-PMD.png?v=1688586454","0.0","lb","6.50","12.95","false","","","continue","manual","true","","","","","24","true","true",""
"8394559815994","PocketMonkey®","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-PMD.png?v=1688586454","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394559979834","ST-1 Pocket Knife","ST-1 is a super thin, ultra compact knife with keychain loop. The ST-1 is one of the easiest knives for convenient storage due to it's 0.125” low profile and patented FlyOff technology. <br>Made in the woods of Maine.<br>See how to open, close, attach, and remove your new blades in our <a href=""https://zootility.com/pages/product-manuals"">Operating Manual</a>","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-ST1.jpg?v=1688580208","1","47603807551802","45556333445434","MERGE","Title","Default Title","","","","","1","Z-ST1","816265024695","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-ST1.png?v=1688580208","0.0","lb","19.50","39.95","false","","","continue","manual","true","","","","","6","true","true",""
"8394559979834","ST-1 Pocket Knife","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-ST1.png?v=1688580208","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394560176442","ST-2 Pocket Knife","<p>ST-2 is a Super Thin 440C stainless steel folding pocket knife with dual blade guards. Under all circumstances, the ST-2 is one of the easiest knives for convenient storage due to it's ultra-thin featherweight design and patented FlyOff technology. <br>Made in the woods of Maine.</p>
<p>See how to open, close, attach, and remove your new blades in our <a href=""https://zootility.com/pages/product-manuals"">Operating Manual</a></p>","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-ST2.jpg?v=1688580211","1","47603811647802","45556336558394","MERGE","Title","Default Title","","","","","1","Z-ST2","816265021021","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-ST2.png?v=1688580211","0.0","lb","22.50","44.95","false","","","continue","manual","true","","","","","6","true","true",""
"8394560176442","ST-2 Pocket Knife","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-ST2.png?v=1688580211","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394560438586","WildCard®","The<span style=""background-color: rgb(255, 255, 255);""> ""World's Thinnest Pocket Knife"", p</span>ut WildCard in your wallet, and have the utility of a knife everywhere you go. The patented FlyOff technology allows you to remove the blade quickly, and the handle also includes a set of tools:<ul>
<li>Screwdrivers</li>
<li>Pry bar</li>
<li>Ruler</li>
<li>Bottle opener</li>
</ul><br>See how to open, close, attach, and remove your new blades in our <a href=""https://zootility.com/pages/product-manuals"">Operating Manual</a>.","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-WC.jpg?v=1688586469","1","47603814957370","45556339867962","MERGE","Title","Default Title","","","","","1","Z-WC","748252676924","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-WC.png?v=1688586470","0.0","lb","16.50","34.95","false","","","continue","manual","true","","","","","12","true","true",""
"8394560438586","WildCard®","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/Z-WC.png?v=1688586470","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394739220794","""Beer & Friends"" Bottle Opener Card","<p>Open bottle caps in style with funny cutout shapes. Open Beer Season™ is our collection of animal shape cutout bottle openers that perfectly fit in your wallet. Made of laser cut 18/8 stainless steel, the laser engraved markings will never wear off.</p> <p>Handmade in the woods of Maine.</p>","Zootility","Backyard & Bar","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-BEER.png?v=1689985502","1","47604859142458","45557383725370","MERGE","Design","Drink Like A Fish","","","","","1","BG-BFWO-MERM","850015006692","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-MERM.png?v=1689985502","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","6","false","false",""
"8394739220794","""Beer & Friends"" Bottle Opener Card","","Zootility","Backyard & Bar","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO_bc260a26-ea29-4c3a-8bf0-c909cb9c7702.jpg?v=1689985502","2","47604859175226","45557383758138","MERGE","Design","Get Buck Wild","","","","","2","BG-BFWO-BUCK","850015006661","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-BUCK.png?v=1689985502","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","false",""
"8394739220794","""Beer & Friends"" Bottle Opener Card","","Zootility","Backyard & Bar","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-MERM.png?v=1689985502","3","47604859207994","45557383790906","MERGE","Design","Let's Get Buzzed","","","","","3","BG-BFWO-BUZZ","850015006647","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-BUZZ.png?v=1689985502","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","false",""
"8394739220794","""Beer & Friends"" Bottle Opener Card","","Zootility","Backyard & Bar","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-BUCK.png?v=1689985502","4","47604859240762","45557383823674","MERGE","Design","Local Beer Hunter","","","","","4","BG-BFWO-BEER","748252679222","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-BEER.png?v=1689985502","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","false",""
"8394739220794","""Beer & Friends"" Bottle Opener Card","","Zootility","Backyard & Bar","Archived","false","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-BFWO-BUZZ.png?v=1689985502","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8394739908922","Animal Bottle Opener Card","<p>Open bottle caps in style with an animal cutout shape. Open Beer Season™ is our collection of animal shape cutout bottle openers that perfectly fit in your wallet. Made of laser cut 18/8 stainless steel, the laser engraved markings will never wear off.</p> <p>Handmade in the woods of Maine.</p>","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-BIGF.png?v=1702498193","1","47604862026042","45557386608954","MERGE","Animal","Alpaca","","","","","1","BG-AWO-ALPA","850015006272","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-ALPA.png?v=1702498193","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","6","true","true",""
"8394739908922","Animal Bottle Opener Card","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-ALPA.png?v=1702498193","2","47604862058810","45557386641722","MERGE","Animal","Bigfoot","","","","","2","BG-AWO-BIGF","816265025005","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-BIGF.png?v=1702498193","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","true",""
"8394739908922","Animal Bottle Opener Card","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-BKBR.png?v=1688585605","3","47604862091578","45557386674490","MERGE","Animal","Black Bear","","","","","3","BG-AWO-BKBR","816265021212","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-BKBR.png?v=1688585605","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","true",""
"8394739908922","Animal Bottle Opener Card","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-BUFF.png?v=1688585605","4","47604862124346","45557386707258","MERGE","Animal","Buffalo","","","","","4","BG-AWO-BUFF","816265021267","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-BUFF.png?v=1688585605","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","true",""
"8394739908922","Animal Bottle Opener Card","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-DEER.png?v=1688585605","5","47604862157114","45557386740026","MERGE","Animal","Deer","","","","","5","BG-AWO-DEER","816265021205","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-DEER.png?v=1688585605","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","true",""
"8394739908922","Animal Bottle Opener Card","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-ELK.png?v=1688585605","6","47604862189882","45557386772794","MERGE","Animal","Elk","","","","","6","BG-AWO-ELK","816265026446","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-ELK.png?v=1688585605","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","true",""
"8394739908922","Animal Bottle Opener Card","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-GWSH.png?v=1688585605","7","47604862222650","45557386805562","MERGE","Animal","Great White Shark","","","","","7","BG-AWO-GWSH","816265026378","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-GWSH.png?v=1688585605","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","true",""
"8394739908922","Animal Bottle Opener Card","","Zootility","Zootility Tools","Active","true","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-LOBS.png?v=1688585605","8","47604862255418","45557386838330","MERGE","Animal","Lobster","","","","","8","BG-AWO-LOBS","816265026453","https://cdn.shopify.com/s/files/1/0789/4928/6202/products/BG-AWO-LOBS.png?v=1688585605","0.0","lb","4.80","12.95","false","","","continue","manual","true","","","","","","","true",""
