Product ID,Variant ID,Product Name (Required),SKU (Required),Variant Name (Required),Option 1 Label,Option 2 Label,Option 3 Label,Option 1 Value,Option 2 Value,Option 3 Value,Product Type,"Barcode (UPC, GTIN, etc)",Minimum Order Quantity,Product Description,Wholesale Price,Retail Price,Online Ordering
46991310,99320707,Faire Exclusive,PS-LSW-80,No. 80 (Red Western),Variant,Design,,Leather Single Wallet - Prints,No. 80,,Back Catalog,816265026965,3,<br>,9.0,19.95,false
46991310,99320691,Faire Exclusive,PS-LSW-52,No. 52 (Tropical Leaves),Variant,Design,,Leather Single Wallet - Prints,No. 52,,Back Catalog,,3,<br>,9.0,19.95,false
46991310,99320688,Faire Exclusive,PS-LSW-40,No. 40 (Green Lillies),Variant,Design,,Leather Single Wallet - Prints,No. 40,,Back Catalog,816265029836,3,<br>,9.0,19.95,false
46991310,98824510,Faire Exclusive,SG-SCC-NH,New Hampshire,Variant,Design,,Cutout Coaster,New Hampshire,,Back Catalog,816265021175,12,<br>,14.0,29.95,false
46991310,99320693,Faire Exclusive,PS-LSW-55,No. 55 (Beach Bus),Variant,Design,,Leather Single Wallet - Prints,No. 55,,Back Catalog,816265024855,3,<br>,9.0,19.95,false
46991310,99320683,Faire Exclusive,PS-FPW-80,Front Pocket Wallet - Prints No. 80,Variant,Design,,Front Pocket Wallet,No. 80,,Back Catalog,816265029294,3,<br>,12.0,24.95,false
46991310,99320673,Faire Exclusive,PS-FPW-65,Front Pocket Wallet - Prints No. 65,Variant,Design,,Front Pocket Wallet,No. 65,,Back Catalog,,3,<br>,12.0,24.95,false
46991310,99320664,Faire Exclusive,PS-FPW-40,Front Pocket Wallet - Prints No. 40,Variant,Design,,Front Pocket Wallet,No. 40,,Back Catalog,816265026972,3,<br>,12.0,24.95,false
46991310,99320680,Faire Exclusive,PS-FPW-76,Front Pocket Wallet - Prints No. 76,Variant,Design,,Front Pocket Wallet,No. 76,,Back Catalog,816265026422,3,<br>,12.0,24.95,false
46991310,98824514,Faire Exclusive,SG-SCC-ND,North Dakota,Variant,Design,,Cutout Coaster,North Dakota,,Back Catalog,816265025340,12,<br>,14.0,29.95,false
46991310,99320668,Faire Exclusive,PS-FPW-53,Front Pocket Wallet - Prints No. 53,Variant,Design,,Front Pocket Wallet,No. 53,,Back Catalog,,3,<br>,12.0,24.95,false
46991310,99320669,Faire Exclusive,PS-FPW-55,Front Pocket Wallet - Prints No. 55,Variant,Design,,Front Pocket Wallet,No. 55,,Back Catalog,816265026989,3,<br>,12.0,24.95,false
46991310,98824528,Faire Exclusive,SG-SCC-WV,West Virginia,Variant,Design,,Cutout Coaster,West Virginia,,Back Catalog,816265021854,12,<br>,14.0,29.95,false
46991310,98824919,Faire Exclusive,PS-VKW-BLK,Black,Variant,Design,,Vertical Keychain Wallet,Black,,Back Catalog,816265020338,3,<br>,14.0,29.95,false
46991310,98824525,Faire Exclusive,SG-SCC-VT,Vermont,Variant,Design,,Cutout Coaster,Vermont,,Back Catalog,816265024732,12,<br>,14.0,29.95,false
46991310,98824520,Faire Exclusive,SG-SCC-SC,South Carolina,Variant,Design,,Cutout Coaster,South Carolina,,Back Catalog,816265025401,12,<br>,14.0,29.95,false
46991310,98824922,Faire Exclusive,PS-VKW-CAM,Camo,Variant,Design,,Vertical Keychain Wallet,Camo,,Back Catalog,816265020390,3,<br>,14.0,29.95,false
46991310,98824530,Faire Exclusive,SG-SCC-WY,Wyoming,Variant,Design,,Cutout Coaster,Wyoming,,Back Catalog,816265021878,12,<br>,14.0,29.95,false
46991310,98824513,Faire Exclusive,SG-SCC-NC,North Carolina,Variant,Design,,Cutout Coaster,North Carolina,,Back Catalog,816265025333,12,<br>,14.0,29.95,false
46991310,98824924,Faire Exclusive,PS-VKW-SPA,Space Purple,Variant,Design,,Vertical Keychain Wallet,Space Purple,,Back Catalog,816265020376,3,<br>,14.0,29.95,false
46991310,98824529,Faire Exclusive,SG-SCC-WI,Wisconsin,Variant,Design,,Cutout Coaster,Wisconsin,,Back Catalog,816265021861,12,<br>,14.0,29.95,false
